text,label
os x        	2attrffcomapplequarantineq004153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8,neutral
00629010082357 excuse me,neutral
00757120104750 do you have your forms,neutral
01001000113925 yeah,happy
01092660146649 let me see them,neutral
01488720180175 is there a problem,neutral
01683520197175 who told you to get in this line,happy
01929000207875 you did,neutral
02132570247400 you were standing at the beginning and you directed me,neutral
02347000280300 okay but i didnt tell you to get in this line if you are filling out this particular form,happy
02746000314900 well whats the problem  let me change it,neutral
02839500312117 this form is a zxfour,neutral
03126600393875 you cant  this is not the line for zxfour  if youre going to fill out the zxfour you need to have a different form of id,happy
03896500435900 what  im getting an id  this is why im here  my wallet was stolen,happy
04123000469800 no i need another set of id to prove this is actually you,neutral
04658000521900 how am i supposed to get an id without an id  how does a person get an id in the first place,happy
05140000576400 i dont know  but i need an id to pass this form along  i cant just send it along without an id,sad
05616000588225 im here to get an id,happy
05818000625900 no  i need another id a separate one,neutral
06187000659700 like what  like a birth certificate,happy
06551000730000 a birth certificate a passporta student id didnt you go to school  anything,happy
06642000693400 who the hell has a birth certificate,neutral
07245000822600 yes but my wallet was stolen i dont have anything  i dont have any credit cards i dont have my id  dont you have things on file here,neutral
08159000860300 yeah  we keep it on file but we need an id to access that file,happy
08527000880200 thats out of control,happy
08715000943900 i dont understand why this is so complicated for people when they get here  its just a simple form  i just need an id,happy
09367000970218 how long have you been working here,neutral
09586000986800 actually too long,neutral
09789001029600 clearly  you know do you have like a supervisor or something,happy
10184001078700 yeah  do you want to see my supervisor  huh yeah  do you want to see my supervisor  fine  ill be right back,happy
10397001067100 that would  i would appreciate that  yeah,happy
00726880166000 did you get the mail so you saw my letter,happy
yeah,happy
01760000206264 its not fair,neutral
01985000227800 yeah  i know,happy
02176000275558 i dont understand  youve already done so much i dont know why do you have to go back,neutral
02656590322895 i dont know  i put in that request too they didnt,happy
03230750379600 i guess you know everybody has to make sacrifices,happy
03885000450900 i dont know its just not fair  i think youve already made your sacrifice,neutral
04734000531100 theres people that have given more though you know,happy
05271000590534 i just dont see how they can make you leave when you have a new baby  we have a new kid,neutral
05875000613100 i know,happy
06175000650550 then why is that fair  why,neutral
06425500684700 theres babies over there though that need mothers,neutral
06934000742900 i dont know how you can be okay with this  i dont know why youre not youre fine with it,happy
07239000785700 im not okay with it but i dont its not like i have a choice  i dont see what crying about it is going to fix,happy
08003000869900 im just trying to think of another way  im just trying to,happy
08720310910900 just you know kicking myself,happy
09155000958800 like you sign up because you need money and,happy
09794001021900 things just arent what they seem,happy
10327001071000 this is a stupid war,neutral
10768001110153 were doing the right thing though,happy
11056531132000 i know,happy
11417751178500 i just dont see why it has to be you,sad
11783001208605 if not me then who,neutral
12041051246300 what am i going to do huh,happy
12782001339455 youll videotape everything yeah,happy
13388001371000 yeah,happy
13903001464300 maybe you can send it to me like stream it yeah,happy
14703001517101 dont you guys have access to computers over there,sad
15142211550100 last month  yeah,happy
15798001627100 i just dont know how im going to do it without you,happy
16354001657300 i have to find sitters,neutral
16488501695000 i cant raise a baby by myself  how,sad
16936001760150 weve got friends thats why we moved here huh  because there is a day care down the street,happy
17547001767200 i know,happy
17608001791300 and your mother is close by,neutral
18283001858894 ill send you lots of letters,neutral
18658001911100 and i want lots and lots and lots of pictures,neutral
19510471995200 its just not fair,neutral
00324000054600 so whats up  whats new,neutral
00488000077400 well vegas was awesome,neutral
00660000086600 yeah  i heard,happy
00793000113700 and um i got married,neutral
01053000138400 shut up  no in vegas,neutral
01280000153700 yeah  in the old town part,happy
01493000189075 who did you marry,neutral
01587000204867 chuck laughter,neutral
02025320228300 did you propose to you,neutral
02175000255200 um yes  it was very romantic,neutral
02555840281400 it was at the slot machines,neutral
02728000296500 oh  the wheel of fortune slots,sad
02837000347100 uhuh uhuh  he won big and heand he realized that the only thing that would make it better was me as his bride,happy
03425000363400 he turned to you and was like,happy
03563490401000 hey  lets get married and i said okay,happy
03771750404700 laughter thats really romantic,happy
04012000427900 yeah  well  you know because hes leaving the next day,happy
04209000434100 yeah,happy
04284000445400 but were going to have a honeymoon cruise,happy
04416000490700 does that mean that youre going to get citizenship too in in england or whatever,happy
04787000510750 oh  i hadnt even thought about that,sad
04961000524300 yeah  think about that,happy
05136000534925 hes not going to be a citizen though,happy
05292000568500 yeah  but hell have like a long visa  can you go visit then for a long time,happy
i think you can,neutral
05586500581500 oh  totally,sad
yeah,happy
05746000613750 oh how are you going to do the long distance thing  so wait are you going to move there,happy
06073000658600 i guess ill  i guess ill have an internet husbandlaughter,neutral
06564250684400 like you need another one of thoselaughter,happy
06801000737500 i have an internet boyfriend  i guess ill have to juggle the two  is that cheating  i dont know hmm,neutral
07341000769975 is that your phone,neutral
07426750788425 yeah so laughter hes calling me now,happy
07832000805000 he loves you,happy
07903500810875 he likes to keep tabs you know,happy
08071750825225 how much did he win at the slot,neutral
08209750850800 uh i think seven hundred and fifty dollars,neutral
08469250873600 really penny slots,neutral
08510000880225 penny slots thats what he plays,happy
08764250890800 wow,neutral
08808000895000 yeah,happy
