text,label
 hey,happy
 time think supposed run around midnight right god great isnt carla look night got huh,happy
 theyre swimming right,happy
 hi sir help,sad
 oh god look huhoh many carat,sad
 hium think baggage lost need guess file claim dont know,happy
 help,sad
 hey,happy
 hey whats,happy
 check know ive told ive really like softball recently,happy
 hi um,neutral
 guess,neutral
 dsl extreme help,sad
 tried uh craigs list,neutral
 hey time theyre supposed run around midnight right god great isnt,happy
 okay big news,happy
 craziest thing happened,happy
 get letter,happy
 whats going say maybe ought tell see,happy
 oh good god,neutral
 oh youre never going believe,happy
 look hair standing arm,neutral
 much younger,neutral
 oh thank god know long ive phone half hour trying talk freaking human,neutral
 whats whats new,neutral
 whats going say maybe ought talk see,happy
 youre one know love parent,happy
 breathing know ive hearing back college,happy
 matter fact real cause row peter burden,neutral
 time god great isnt cant believe,neutral
 oh,sad
 right finally go,happy
 hi thanks waiting,neutral
 hi need id,neutral
 hi help,sad
 right customer service steve,happy
 uhm dont know,neutral
 ryan whats wrong,neutral
 yes please help bag,sad
 welcome northwest airline help,sad
 time theyre supposed run around midnight oh great isnt look night weve got couldnt better actually wanted go little coast know get away light people afraid might miss though,happy
 think,neutral
 help,sad
 yes there big envelope say youre know,happy
 dont want go,sad
 yeah hi um look im trying right renew license plate thats need get one little sticker,happy
 esmeralda guess,neutral
 god finally got line front line ive waiting like half hour,happy
 guess,neutral
 hi um excuse believe airline lost baggage,neutral
 well think,neutral
 hi,neutral
 well think,neutral
 hi um excuse ive like five desk nobody seems able tell need ive hour possibly help,neutral
 good god,happy
 come think real cause roue peter burden,neutral
 good god,happy
 youre one know love parent,happy
 hey,happy
 hey listen missy ive line hour im finally youre going take application,happy
 hi need need help ive transferred like eight different department ive told problem every single department send another one say going send information wont repeat person doesnt know whats going ive restated story eight different time want somebody help get connection back happens every two week want know stop happening,happy
 invite,neutral
 hey joy come,happy
 matter fact real cause row peter burden,neutral
 something tell,happy
 matter fact real cause row peter burden,neutral
 hi um luggage didnt come conveyor thingy,happy
 oh god guess guess guess guess guess guess,sad
 yeah hi lookum okay here thing,happy
 much sillier,neutral
 youre one still love parent,happy
 guess came today,neutral
 breathing,happy
 well vega awesome,neutral
 hey stupid dumb shit machine give fucking operator huh,happy
 seems uh mymy bag didnt make carousel,neutral
 time theyre supposed run around midnight,happy
 invite,neutral
 got college,neutral
 hi name shiloh welcome toairline six hi may help,sad
 guess,neutral
 whats going,happy
 feeling,neutral
 uh hows going mean need anything,happy
 think,neutral
 hey isabella,happy
 baby need sit,neutral
 brian need help,sad
 yes im um getting id need new id,happy
 help,sad
 whats going say maybe ought tell see,happy
 look really happy whats going,happy
 help sir,sad
 yeah fourth line,happy
 matter fact real cause row peter burden,neutral
 think,neutral
 time theyre supposed run around midnight,happy
 hi help,sad
 uh god dont know anymore like said,happy
 going year,happy
 hi excuse um id like put application registration,happy
 invite,neutral
 youre one know love parent,happy
 good god,happy
 hey hows going havent seen awhile,happy
 good god,happy
 dont know brian uhits three year,neutral
 come,neutral
 invite,neutral
 think,neutral
 help sir,sad
 hey sweetie,happy
 ahh yeah wrong line im sorry need go back line two b thats started,happy
 hey whats,happy
 hi,neutral
 good god,happy
 thats wind,happy
 hi thank much youre real person right youre like recording,happy
 invite,neutral
 youre one know love parent,happy
 um,neutral
 look goose bump,neutral
 invite,neutral
 thank calling sprint care everybody help,sad
 good god,happy
 whats going say maybe tell see,happy
 wonder,neutral
 hi help,sad
 knew nothing,happy
 youre one know still love parent,happy
 yeah hello,happy
 whats going say,happy
 well think,neutral
 know going style isnt,happy
 youre one know love parent,happy
 good god,happy
 excuse,neutral
 girl offered fifty thousand dollar marry,neutral
 look sir ive waiting hour luggage still hasnt come whats going,happy
 whats going man whats wrong,happy
 think,neutral
 whats wrong melissa,neutral
 hello thank calling dell taco corporate help,sad
 dont know im going mean,happy
 think,neutral
 got got accepted usc,neutral
 hello viacom service help,sad
 uh huh,neutral
 yeah heard,happy
 whats going say maybe ought talk see,happy
 youre one know love parent,happy
 hey get way im watching tv,happy
 think,neutral
 hows going,happy
 next,neutral
 invite,neutral
 time theyre supposed run around midnight great isnt look night weve got couldnt better,happy
 saying,neutral
 time isnt supposed start running around midnight great isnt look great night got couldnt better,happy
 spot massive celebration like sex death,happy
 invite,neutral
 sweetheart ive got tell something got call im going iraq,happy
 youre one know still love parent,happy
 um well kind wanted know tell im actually proposed kate going get married,happy
 know know dont want go either baby love know im going miss lot,happy
 whats gon na say maybe ought tell see,neutral
 seem excited,happy
 shut whatd get whered get accepted please,happy
 yes help luggage,sad
 bother,neutral
 need little information,neutral
 uh craigs list oh internet thing,neutral
 yeah,happy
 get mail saw letter,happy
 wonder,neutral
 alright youre going believe went home today looked mail got acceptance letter usc,happy
 hey hows going joe,happy
 oh man dont know dont know like every job know go every job apply,neutral
 youre leaving tomorrow,happy
 invite,neutral
 know went style didnt,happy
 yea want get done,happy
 need bag,neutral
 think,neutral
 guy lost bag,neutral
 good god,happy
 invite,neutral
 laughter guess got hitched,neutral
 yeah awesome,happy
 form,neutral
 honey knew nothing,happy
 acceptance letter,neutral
 yeah,happy
 pretty good susanna,happy
 hows going babe,happy
 think,neutral
 whats going say maybe tell see,happy
 nobody know except freda wouldnt ring,happy
 wonder,neutral
 think,neutral
 saying,neutral
 well think,neutral
 asked marry,neutral
 bother,neutral
 um got married,neutral
 im getting married,happy
 whats going say maybe tell see,happy
 he going say,happy
 bag come ive four hour,neutral
 hey time poke around midnight right god great isnt,happy
 knew nothing sort took present,happy
 whats happening,neutral
 bother,neutral
 yes real cause rile peter burden,neutral
 wonder,neutral
 im tired time,happy
 bother,neutral
 well totally random got full ride scholarship go usc next year play softball,neutral
 yes okay okay go,happy
 wonder,neutral
 one know still love parent,happy
 um okay didntdidnt come carrousel,happy
 okay,happy
 oh real,sad
 know going style isnt,happy
 okay,happy
 saw,neutral
 god great isnt like look night go couldnt better,happy
 whats going say maybe ought tell see,happy
 well think,neutral
 oh yeah gotten letter yet,neutral
 well maybe wanted see,neutral
 ridiculous,neutral
 window open,neutral
 saw,neutral
 know kind went style didnt,happy
 oh god line,sad
 wonder,neutral
 time theyre supposed run around midnight great isnt look night weve got couldnt better,happy
 freda one know wouldnt ring,happy
 well nobody know except freda wouldnt ring,happy
 hows going oh im tired oh woke mmm,happy
 well guess guess guess guess guess,neutral
 oh knew nothing,neutral
 think,neutral
 laughter,neutral
 great isnt look night weve got couldnt better,neutral
 bother,neutral
 almost time go,happy
 said,neutral
 saw,neutral
 nothing know,happy
 well whatd think,neutral
 seem kind,neutral
 course want little coast know get away light people everything midnight always start midnight midnight huh okay thats good,happy
 yes found today got letter,neutral
 hey,happy
 actually want get little coast get away like light people,happy
 well finally,neutral
 laughter utterly utterly ridiculous,neutral
 well nobody know except freda wouldnt ring,happy
 going really well um received something mail today,happy
 know laughter dude dont know probably huge dont even know like wear hand like going like really low cant believe,happy
 flew three hour ago ive four different line,neutral
 wonder,neutral
 usc,neutral
 nobody know except freda wouldnt ring,happy
 wonder,neutral
 im right,happy
 saying,neutral
 oh check make sure went around second time,neutral
 shes new york three half year sudden,neutral
 matter fact real cause row peter burden,neutral
 get,happy
 rouser wasnt,neutral
 know went style didnt,happy
 maybe tell see,neutral
 shes new york three half year sudden,neutral
 shes new york three half year sudden,neutral
 know went style didnt,happy
 bother,neutral
 ok ive ive talking machine past half hour cantcant get anything done ive trying book vacation entire time,happy
 hello sir help,sad
 really exciting dont want guess,sad
 know went style didnt,happy
 could see first one still bed,neutral
 bother,neutral
 ridiculous,neutral
 however believe real cause row peter burden,neutral
 knew nothing sort took present,happy
 first year child life,neutral
 shut,neutral
 hows going feeling,happy
 yeah know went style didnt,happy
 imevery lead get end dead end know mean people sick calling,happy
 saw,neutral
 whats going joe,happy
 thats awesome,happy
 arrived london,neutral
 okay flight,happy
 okay good thing,happy
 oh form wrong form need go line side dmv,sad
 yeah um trying reach somebody refund uh money,happy
 okay let see um needwe need original birth certificate,happy
 wonder,neutral
 freda one know wouldnt call,happy
 hmm hmm,neutral
 yeah,happy
 get new license,happy
 knew nothing,happy
 usc,neutral
 right,happy
 bother,neutral
 okay,happy
 oh sweet,sad
 certainly slightly exaggerated scientific fact,neutral
